nth_trial,left_outer_crosstalk,left_inner_crosstalk,right_inner_crosstalk,right_outer_crosstalk
413,0.0,3.658536585365854,67.07317073170732,25.609756097560975
414,0.0,3.658536585365854,67.07317073170732,25.609756097560975
415,0.0,3.658536585365854,67.07317073170732,25.609756097560975
416,0.0,3.658536585365854,68.29268292682927,25.609756097560975
417,0.0,3.658536585365854,68.29268292682927,25.609756097560975
418,0.0,3.658536585365854,68.29268292682927,25.609756097560975
419,0.0,3.6144578313253013,67.46987951807229,25.301204819277107
420,0.0,3.6144578313253013,67.46987951807229,25.301204819277107
421,0.0,3.6144578313253013,67.46987951807229,25.301204819277107
422,0.0,3.6144578313253013,67.46987951807229,26.50602409638554
423,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
424,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
425,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
426,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
427,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
428,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
429,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
430,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
431,0.0,3.5714285714285716,66.66666666666667,26.19047619047619
432,0.0,3.5714285714285716,67.85714285714286,26.19047619047619
433,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
434,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
435,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
436,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
437,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
438,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
439,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
440,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
441,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
442,0.0,3.5294117647058822,67.05882352941177,25.88235294117647
443,0.0,3.488372093023256,66.27906976744185,25.58139534883721
444,0.0,3.4482758620689653,65.51724137931035,25.28735632183908
445,0.0,3.4482758620689653,65.51724137931035,25.28735632183908
446,0.0,3.4482758620689653,65.51724137931035,26.436781609195403
447,0.0,3.4482758620689653,65.51724137931035,26.436781609195403
448,0.0,3.4482758620689653,65.51724137931035,26.436781609195403
449,0.0,3.4482758620689653,66.66666666666667,26.436781609195403
450,0.0,3.4482758620689653,66.66666666666667,26.436781609195403
451,0.0,3.4482758620689653,66.66666666666667,26.436781609195403
452,0.0,3.4482758620689653,66.66666666666667,26.436781609195403
453,0.0,3.4482758620689653,66.66666666666667,26.436781609195403
454,0.0,3.4482758620689653,66.66666666666667,26.436781609195403
455,0.0,3.4482758620689653,66.66666666666667,26.436781609195403
456,0.0,3.409090909090909,65.9090909090909,26.136363636363637
457,0.0,3.409090909090909,65.9090909090909,26.136363636363637
458,0.0,3.409090909090909,67.04545454545455,26.136363636363637
459,0.0,3.409090909090909,68.18181818181819,26.136363636363637
460,0.0,3.409090909090909,68.18181818181819,26.136363636363637
461,0.0,3.3707865168539324,67.41573033707866,25.84269662921348
462,0.0,3.3707865168539324,67.41573033707866,26.96629213483146
463,0.0,3.3707865168539324,67.41573033707866,28.089887640449437
464,0.0,3.3707865168539324,67.41573033707866,28.089887640449437
465,0.0,3.3333333333333335,66.66666666666667,27.77777777777778
466,0.0,3.3333333333333335,66.66666666666667,27.77777777777778
467,0.0,3.3333333333333335,66.66666666666667,27.77777777777778
468,0.0,3.2967032967032965,65.93406593406593,27.47252747252747
469,0.0,3.260869565217391,65.21739130434783,27.17391304347826
470,0.0,3.225806451612903,64.51612903225806,26.881720430107528
471,0.0,3.1914893617021276,63.829787234042556,26.595744680851062
472,0.0,3.1914893617021276,64.8936170212766,26.595744680851062
473,0.0,3.1914893617021276,65.95744680851064,26.595744680851062
474,0.0,3.1914893617021276,65.95744680851064,26.595744680851062
475,0.0,3.1914893617021276,65.95744680851064,26.595744680851062
476,0.0,3.1914893617021276,65.95744680851064,26.595744680851062
477,0.0,3.1578947368421053,65.26315789473684,26.31578947368421
478,0.0,3.1578947368421053,65.26315789473684,26.31578947368421
479,0.0,3.125,64.58333333333333,26.041666666666668
480,0.0,3.125,64.58333333333333,26.041666666666668
481,0.0,3.125,65.625,26.041666666666668
482,0.0,3.0927835051546393,64.94845360824742,25.77319587628866
483,0.0,3.0927835051546393,64.94845360824742,25.77319587628866
484,0.0,3.0927835051546393,64.94845360824742,25.77319587628866
485,0.0,3.0927835051546393,64.94845360824742,25.77319587628866
486,0.0,3.061224489795918,64.28571428571429,25.510204081632654
487,0.0,3.0303030303030303,63.63636363636363,25.252525252525253
488,0.0,3.0303030303030303,63.63636363636363,26.262626262626263
489,0.0,3.0303030303030303,63.63636363636363,26.262626262626263
490,0.0,3.0303030303030303,63.63636363636363,26.262626262626263
491,0.0,3.0303030303030303,64.64646464646465,26.262626262626263
492,0.0,3.0303030303030303,64.64646464646465,26.262626262626263
493,0.0,3.0,64.0,26.0
