x_coordinate,y_coordinate
-5.277,1.273
-5.273,1.266
-5.266,1.278
-5.277,1.281
-5.273,1.246
-5.273,1.273
-5.27,1.283
-5.29,1.283
-5.293,1.269
-5.293,1.286
-5.28,1.266
-5.28,1.2705
-5.28,1.259
-5.28,1.275
-5.277,1.27
-5.29,1.268
-5.285,1.266
-5.28,1.241
-5.266,1.243
-5.254,1.239
-5.26,1.244
-5.25,1.248
-5.24,1.236
-5.24,1.226
-5.246,1.217
-5.246,1.214
-5.254,1.211
-5.266,1.201
-5.273,1.213
-5.266,1.2295
-5.25,1.218
-5.254,1.219
-5.23,1.231
-5.24,1.22
-5.27,1.209
-5.266,1.186
-5.26,1.184
-5.258,1.188
-5.285,1.184
-5.285,1.19
-5.29,1.158
-5.285,1.16
-5.285,1.147
-5.27,1.121
-5.27,1.133
-5.273,1.13
-5.28,1.123
-5.293,1.117
-5.305,1.121
-5.312,1.134
-5.3,1.122
-5.312,1.129
-5.305,1.131
-5.293,1.128
-5.3,1.144
-5.31,1.133
-5.293,1.115
-5.305,1.093
-5.305,1.1
-5.3,1.079
-5.324,1.088
-5.332,1.08
-5.33,1.083
-5.344,1.078
-5.344,1.068
-5.34,1.066
-5.312,1.08
-5.33,1.075
-5.332,1.071
-5.336,1.07
-5.332,1.074
-5.34,1.059
-5.32,1.05
-5.32,1.042
-5.33,1.036
-5.332,1.038
-5.332,1.031
-5.35,1.033
-5.348,1.032
-5.355,1.043
-5.36,1.046
-5.37,1.055
-5.38,1.06
-5.375,1.036
-5.363,1.026
-5.38,1.02
-5.367,1.032
-5.38,1.031
-5.387,1.031
-5.4,1.041
-5.42,1.032
-5.438,1.051
-5.426,1.047
-5.418,1.05
-5.426,1.061
-5.414,1.064
-5.41,1.055
-5.402,1.051
-5.395,1.067
-5.39,1.065
-5.38,1.069
-5.39,1.073
-5.383,1.081
-5.39,1.101
-5.387,1.103
-5.395,1.094
-5.406,1.08
-5.41,1.062
-5.414,1.056
-5.42,1.052
-5.418,1.043
-5.418,1.044
-5.42,1.058
-5.434,1.07
-5.426,1.08
-5.43,1.079
-5.406,1.074
-5.42,1.059
-5.42,1.0625
-5.426,1.061
-5.42,1.065
-5.43,1.069
-5.42,1.062
-5.42,1.052
-5.42,1.051
-5.414,1.071
-5.426,1.062
-5.438,1.061
-5.453,1.068
-5.47,1.061
-5.457,1.063
-5.46,1.052
-5.45,1.032
-5.453,1.041
-5.445,1.03
-5.44,1.025
-5.426,1.038
-5.426,1.033
-5.42,1.04
-5.414,1.022
-5.434,1.032
-5.438,1.01
-5.445,1.017
-5.426,1.005
-5.414,0.982
-5.434,0.9854
-5.41,0.9624
-5.41,0.9507
-5.426,0.952
-5.42,0.9326
-5.402,0.9194
-5.4,0.929
-5.41,0.934
-5.418,0.9346
-5.414,0.9336
-5.41,0.9087
-5.414,0.892
-5.434,0.901
-5.44,0.9053
-5.445,0.9175
-5.445,0.897
-5.44,0.8906
-5.445,0.9126
-5.457,0.924
-5.45,0.913
-5.45,0.897
-5.45,0.882
-5.44,0.8633
-5.46,0.8594
-5.465,0.8687
-5.465,0.8623
-5.46,0.879
-5.46,0.874
-5.47,0.8687
-5.49,0.8716
-5.496,0.872
-5.492,0.859
-5.5,0.84
-5.508,0.843
-5.52,0.854
-5.516,0.86
-5.504,0.866
-5.523,0.8833
-5.53,0.893
-5.535,0.9033
-5.543,0.896
-5.535,0.8877
-5.55,0.8877
-5.555,0.8726
-5.57,0.8584
-5.56,0.8657
-5.55,0.8647
-5.555,0.879
-5.56,0.8794
-5.55,0.8667
-5.555,0.876
-5.56,0.875
-5.55,0.879
-5.56,0.884
-5.562,0.9033
-5.555,0.919
-5.566,0.9097
-5.566,0.9023
-5.56,0.8926
-5.55,0.907
-5.55,0.9214
-5.555,0.914
-5.55,0.9185
-5.527,0.908
-5.543,0.9287
-5.543,0.9316
-5.54,0.92
-5.547,0.913
-5.55,0.8994
-5.55,0.893
-5.57,0.9004
-5.566,0.8945
-5.57,0.8896
-5.58,0.88
-5.582,0.891
-5.562,0.907
-5.566,0.906
-5.586,0.923
-5.598,0.928
-5.586,0.9263
-5.582,0.917
-5.58,0.904
-5.586,0.901
-5.605,0.892
-5.605,0.871
-5.633,0.87
-5.652,0.862
-5.637,0.865
-5.656,0.8525
-5.65,0.845
-5.66,0.8374
-5.652,0.842
-5.656,0.852
-5.67,0.8447
-5.67,0.855
-5.656,0.8584
-5.637,0.8633
-5.64,0.855
-5.656,0.8604
-5.66,0.8647
-5.652,0.858
-5.637,0.864
-5.63,0.874
-5.63,0.8794
-5.63,0.8916
-5.633,0.882
-5.625,0.881
-5.63,0.872
-5.617,0.861
-5.633,0.844
-5.63,0.8574
-5.645,0.8647
-5.645,0.856
-5.625,0.8457
-5.613,0.843
-5.617,0.828
-5.617,0.8193
-5.605,0.8135
-5.61,0.8096
-5.617,0.794
-5.625,0.8247
-5.613,0.811
-5.59,0.813
-5.586,0.824
-5.582,0.7954
-5.58,0.807
-5.566,0.786
-5.562,0.7764
-5.582,0.797
-5.6,0.812
-5.594,0.813
-5.59,0.816
-5.598,0.8213
-5.59,0.81
-5.59,0.802
-5.57,0.792
-5.574,0.8027
-5.586,0.805
-5.605,0.8027
-5.613,0.8174
-5.613,0.8354
-5.605,0.833
-5.594,0.835
-5.61,0.8506
-5.59,0.85
-5.582,0.863
-5.59,0.8516
-5.586,0.864
-5.61,0.8735
-5.613,0.873
-5.63,0.875
-5.62,0.878
-5.637,0.8735
-5.652,0.876
-5.637,0.885
-5.625,0.886
-5.605,0.9023
-5.617,0.9233
-5.625,0.916
-5.617,0.907
-5.61,0.928
-5.6,0.939
-5.633,0.947
-5.617,0.941
-5.594,0.923
-5.605,0.9224
-5.594,0.9077
-5.594,0.927
-5.6,0.914
-5.594,0.917
-5.598,0.9233
-5.598,0.9175
-5.6,0.9062
-5.594,0.897
-5.586,0.8823
-5.582,0.876
-5.594,0.8765
-5.594,0.864
-5.6,0.866
-5.594,0.8726
-5.586,0.8657
-5.586,0.854
-5.594,0.8696
-5.605,0.851
-5.598,0.8604
-5.617,0.854
-5.617,0.855
-5.6,0.8677
-5.59,0.876
-5.6,0.8525
-5.613,0.847
-5.613,0.843
-5.62,0.832
-5.63,0.8345
-5.637,0.8325
-5.637,0.827
-5.633,0.8203
-5.633,0.819
-5.63,0.815
-5.633,0.8223
-5.64,0.8145
-5.645,0.821
-5.656,0.82
-5.664,0.8345
-5.66,0.8286
-5.67,0.8403
-5.664,0.8496
-5.664,0.818
-5.66,0.8174
-5.67,0.801
-5.676,0.7705
-5.68,0.758
-5.668,0.7695
-5.656,0.7754
-5.66,0.775
-5.676,0.7627
-5.67,0.738
-5.67,0.7236
-5.688,0.7217
-5.71,0.712
-5.723,0.7007
-5.73,0.705
-5.73,0.7124
-5.73,0.712
-5.73,0.711
-5.727,0.7188
-5.75,0.722
-5.75,0.726
-5.758,0.721
-5.758,0.724
-5.746,0.734
-5.76,0.745
-5.777,0.758
-5.793,0.741
-5.78,0.74
-5.785,0.7627
-5.785,0.7637
-5.78,0.7725
-5.773,0.7734
-5.773,0.7656
-5.766,0.7637
-5.76,0.761
-5.773,0.7305
-5.777,0.7246
-5.78,0.7305
-5.797,0.7373
-5.79,0.7427
-5.77,0.741
-5.773,0.748
-5.777,0.7407
-5.754,0.745
-5.77,0.755
-5.75,0.7544
-5.75,0.7466
-5.742,0.749
-5.73,0.7397
-5.715,0.7544
-5.723,0.7363
-5.703,0.742
-5.71,0.7383
-5.74,0.744
-5.734,0.7427
-5.73,0.7485
-5.715,0.761
-5.723,0.781
-5.71,0.766
-5.715,0.776
-5.742,0.777
-5.746,0.7974
-5.74,0.7954
-5.742,0.79
-5.734,0.7847
-5.734,0.778
-5.73,0.7866
-5.727,0.762
-5.707,0.7573
-5.723,0.761
-5.742,0.746
-5.74,0.7427
-5.72,0.7485
-5.723,0.7207
-5.723,0.7104
-5.715,0.7197
-5.715,0.7046
-5.72,0.7095
-5.727,0.729
-5.746,0.721
-5.75,0.7207
-5.75,0.7134
-5.766,0.7275
-5.758,0.7285
-5.75,0.7373
-5.76,0.7417
-5.75,0.7466
-5.746,0.7354
-5.746,0.749
-5.74,0.757
-5.746,0.76
-5.74,0.7524
-5.75,0.744
-5.734,0.746
-5.72,0.729
-5.715,0.7163
-5.723,0.73
-5.723,0.7397
-5.742,0.7476
-5.74,0.7427
-5.746,0.7295
-5.74,0.7246
-5.73,0.7305
-5.72,0.7266
-5.734,0.75
-5.727,0.742
-5.734,0.7397
-5.73,0.7285
-5.746,0.734
-5.758,0.732
-5.78,0.7246
-5.78,0.73
-5.773,0.726
-5.758,0.7114
-5.76,0.7017
-5.74,0.7046
-5.73,0.7046
-5.723,0.6895
